room_id,hotel_id,room_type_id,room_number,floor,status,notes
1,1,3,301,3,available,
2,1,3,202,2,cleaning,
3,1,1,103,1,blocked,Blocked by management
4,1,3,204,2,maintenance,Air conditioning fault
5,1,2,105,1,available,
6,1,2,106,1,available,
7,1,3,207,2,maintenance,Painting in progress
8,1,2,108,1,available,
9,1,2,109,1,available,
10,1,1,210,2,available,
11,1,1,111,1,available,
12,1,3,112,1,available,
13,1,2,213,2,cleaning,
14,1,2,114,1,available,
15,1,2,115,1,available,
16,1,3,316,3,available,
17,1,3,117,1,blocked,Blocked due to a security issue
18,1,2,218,2,available,
19,1,2,219,2,cleaning,
20,1,3,220,2,available,
21,1,1,101,1,available,
22,1,1,102,1,cleaning,
23,1,2,103,1,maintenance,Painting in progress
24,1,3,204,2,occupied,
25,1,1,105,1,available,
26,1,3,106,1,available,
27,1,3,107,1,occupied,
28,1,1,308,3,cleaning,
29,1,2,209,2,cleaning,
30,1,1,110,1,available,
31,1,2,311,3,occupied,
32,1,3,112,1,occupied,
33,1,2,313,3,available,
34,1,3,114,1,cleaning,
35,1,2,315,3,available,
36,1,2,116,1,available,
37,1,1,317,3,available,
38,1,3,218,2,available,
39,1,3,119,1,maintenance,Pending plumbing inspection
40,1,3,120,1,cleaning,
41,1,2,101,1,available,
42,1,3,302,3,cleaning,
43,1,1,303,3,cleaning,
44,1,1,204,2,occupied,
45,1,3,205,2,available,
46,1,2,206,2,available,
47,1,1,307,3,cleaning,
48,1,3,208,2,available,
49,1,1,309,3,blocked,Blocked due to a security issue
50,1,3,210,2,available,
51,1,3,111,1,available,
52,1,3,312,3,available,
53,1,1,313,3,available,
54,1,3,314,3,available,
55,1,3,115,1,available,
56,1,2,316,3,available,
57,1,3,117,1,cleaning,
58,1,1,218,2,occupied,
59,1,1,219,2,blocked,Blocked by management
60,1,3,120,1,maintenance,Pending plumbing inspection
61,1,2,101,1,available,
62,1,1,302,3,available,
63,1,2,103,1,occupied,
64,1,1,204,2,available,
65,1,2,105,1,cleaning,
66,1,2,206,2,available,
67,1,2,107,1,maintenance,Bathroom renovation in progress
68,1,1,208,2,available,
69,1,1,209,2,available,
70,1,2,110,1,available,
71,1,1,211,2,available,
72,2,4,301,3,available,
73,2,7,602,6,available,
74,2,5,503,5,cleaning,
75,2,5,104,1,available,
76,2,5,205,2,available,
77,2,6,606,6,available,
78,2,5,107,1,available,
79,2,7,208,2,available,
80,2,4,409,4,available,
81,2,7,210,2,available,
82,2,5,211,2,available,
83,2,4,412,4,cleaning,
84,2,6,413,4,available,
85,2,6,114,1,available,
86,2,7,215,2,available,
87,2,7,316,3,available,
88,2,4,317,3,available,
89,2,6,218,2,cleaning,
90,2,4,219,2,occupied,
91,2,4,120,1,occupied,
92,2,7,501,5,available,
93,2,4,402,4,maintenance,Painting in progress
94,2,7,503,5,cleaning,
95,2,7,304,3,available,
96,2,4,505,5,available,
97,2,5,106,1,cleaning,
98,2,7,207,2,cleaning,
99,2,5,208,2,maintenance,Bathroom renovation in progress
100,2,4,409,4,available,
101,2,7,210,2,blocked,Blocked due to a security issue
102,2,5,511,5,available,
103,2,4,112,1,available,
104,2,7,513,5,available,
105,2,6,514,5,available,
106,2,4,615,6,available,
107,2,7,116,1,available,
108,2,5,517,5,available,
109,2,4,118,1,available,
110,2,4,319,3,cleaning,
111,2,6,420,4,available,
112,2,7,501,5,available,
113,2,4,202,2,available,
114,2,5,503,5,available,
115,2,7,104,1,available,
116,2,6,605,6,available,
117,2,7,306,3,cleaning,
118,2,4,307,3,maintenance,Pending plumbing inspection
119,2,6,308,3,cleaning,
120,2,4,209,2,available,
121,2,7,310,3,available,
122,2,7,511,5,available,
123,2,5,412,4,available,
124,2,7,613,6,available,
125,2,6,114,1,available,
126,2,5,115,1,available,
127,2,7,216,2,maintenance,Air conditioning fault
128,2,5,217,2,cleaning,
129,2,5,118,1,available,
130,2,7,119,1,cleaning,
