dish_id,restaurant_id,name,description,category,price,currency,ingredients,allergens,dietary_tags,spicy_level,calories,available
1,1,Craft beer,"Craft beer is a drink dish, made mainly with basic amenities. Contains allergens: sulphites, fish and milk.",drink,6.61,EUR,,sulphites;fish;milk,,0,87,True
2,1,House burger,"House burger is a main dish, made mainly with mushrooms, potato, white fish and rice. No declared allergens. Spice level: 1/5.",main,24.88,EUR,mushrooms;potato;white fish;rice,,,1,625,True
3,1,Spicy fried potatoes,"Spicy fried potatoes is a small plate dish, made mainly with cheese, tomato, bell pepper, milk, parsley and seafood. Contains allergens: peanuts. Spice level: 1/5.",small plate,7.8,EUR,cheese;tomato;bell pepper;milk;parsley;seafood,peanuts,,1,217,True
4,1,Warm mixed salad,"Warm mixed salad is a starter dish, made mainly with parsley, tomato and spinach. Suitable for the following diets: vegan and kosher. No declared allergens.",starter,10.26,EUR,parsley;tomato;spinach,,vegan;kosher,0,248,True
5,1,Cola,"Cola is a drink dish, made mainly with basic amenities. Suitable for the following diets: vegan and vegetarian. Contains allergens: molluscs, gluten and milk. Spice level: 1/5.",drink,5.76,EUR,,molluscs;gluten;milk,vegan;vegetarian,1,76,True
6,1,Cola (traditional),"Cola (traditional) is a drink dish, made mainly with basic amenities. Contains allergens: sesame. Spice level: 1/5.",drink,5.73,EUR,,sesame,,1,139,False
7,1,Grilled sirloin steak,"Grilled sirloin steak is a main dish, made mainly with rice and lemon. No declared allergens. Spice level: 2/5.",main,28.48,EUR,rice;lemon,,,2,823,True
8,1,Fresh pasta with wild mushrooms,"Fresh pasta with wild mushrooms is a main dish, made mainly with sugar and chocolate. Suitable for the following diets: vegetarian. No declared allergens. Spice level: 4/5.",main,26.68,EUR,sugar;chocolate,,vegetarian,4,663,True
9,1,Homemade custard,"Homemade custard is a dessert dish, made mainly with flour, cheese, rice, beef and potato. Contains allergens: milk and egg. Spice level: 2/5.",dessert,5.44,EUR,flour;cheese;rice;beef;potato,milk;egg,,2,408,True
10,1,Specialty coffee,"Specialty coffee is a drink dish, made mainly with basic amenities. Contains allergens: lupin and soy. Spice level: 1/5.",drink,2.52,EUR,,lupin;soy,,1,119,True
