restaurant_id,name,description,cuisine_types,city,opening_hours,price_range,rating,review_count,services,accessible,pet_friendly,dress_code,max_capacity
1,Terrace The Square,"Right in Portland, Terrace The Square offers a menu inspired by vegan cuisine, designed for all kinds of diners.

Terrace The Square has an average rating of 3.1/5 based on 58 customer reviews.",vegan,Portland,"12:30-16:00, 20:00-23:00",upscale,3.1,58,valet parking;smoking area;takeaway;kids menu,True,False,smart casual,12
2,Chophouse The Old Inn,"Right in Tokyo, Chophouse The Old Inn offers a menu inspired by American, Spanish cuisine, designed for all kinds of diners.

Chophouse The Old Inn has an average rating of 3.8/5 based on 20 customer reviews.",American;Spanish,Tokyo,"12:30-16:00, 19:30-23:30",mid-range,3.8,20,bar counter;takeaway;smoking area;parking;tasting menu,False,True,smart casual,30
3,Chophouse The Square,"Right in Amsterdam, Chophouse The Square offers a menu inspired by Thai, Indian cuisine, designed for all kinds of diners.

Chophouse The Square has an average rating of 3.8/5 based on 34 customer reviews.",Thai;Indian,Amsterdam,"12:30-16:00, 19:30-23:30",mid-range,3.8,34,bar counter;kids menu;live music;tasting menu;private events;smoking area,True,True,casual,45
4,Restaurant The Square,"Right in New Orleans, Restaurant The Square offers a menu inspired by Indian cuisine, designed for all kinds of diners.

Restaurant The Square has an average rating of 3.9/5 based on 20 customer reviews.",Indian,New Orleans,"12:30-16:00, 20:00-23:00",upscale,3.9,20,terrace;live music,True,False,smart casual,28
5,Bistro The Yard,"Right in Barcelona, Bistro The Yard offers a menu inspired by Peruvian cuisine, designed for all kinds of diners.

The venue offers parking and delivery, and follows a casual dress code.

Bistro The Yard has an average rating of 3.3/5 based on 1 customer reviews.",Peruvian,Barcelona,"13:30-16:30, 19:30-23:00",budget,3.3,1,parking;delivery,True,False,casual,61
6,Chophouse The Hearth,"Chophouse The Hearth is a Chinese restaurant located in Amsterdam, in the mid-range price range.

The venue offers live music, delivery and takeaway, and follows a casual dress code.

Chophouse The Hearth has an average rating of 3.8/5 based on 82 customer reviews.",Chinese,Amsterdam,"13:00-15:30, 20:30-23:00",mid-range,3.8,82,live music;delivery;takeaway,True,False,casual,37
7,Terrace The Vine,"Right in Amsterdam, Terrace The Vine offers a menu inspired by Italian cuisine, designed for all kinds of diners.

Its maximum capacity is 59 diners.

The venue offers wifi, private events and valet parking, and follows a casual dress code.

Terrace The Vine has an average rating of 3.7/5 based on 8 customer reviews.",Italian,Amsterdam,"12:30-15:30, 19:30-00:00",upscale,3.7,8,wifi;private events;valet parking,False,False,casual,59
8,Grill The Olive Tree,"Right in Tokyo, Grill The Olive Tree offers a menu inspired by Indian cuisine, designed for all kinds of diners.

Its maximum capacity is 79 diners. The premises are accessible for guests with reduced mobility.

Grill The Olive Tree has an average rating of 3.7/5 based on 14 customer reviews.",Indian,Tokyo,13:00-00:00,mid-range,3.7,14,terrace;takeaway;smoking area;live music;private events;valet parking,True,False,smart casual,79
9,Seafood House The Courtyard,"Right in Miami, Seafood House The Courtyard offers a menu inspired by Mexican, seafood cuisine, designed for all kinds of diners.

Its maximum capacity is 60 diners. The premises are accessible for guests with reduced mobility.

The venue offers live music, terrace, tasting menu, smoking area and kids menu, and follows a smart casual dress code.

Seafood House The Courtyard has an average rating of 3.4/5 based on 6 customer reviews.",Mexican;seafood,Miami,"12:30-16:30, 20:30-23:00",mid-range,3.4,6,live music;terrace;tasting menu;smoking area;kids menu,True,False,smart casual,60
10,Chophouse The Lookout,"Right in Amsterdam, Chophouse The Lookout offers a menu inspired by vegan, Italian, Mexican cuisine, designed for all kinds of diners.

The venue offers smoking area and delivery, and follows a formal dress code.

Its maximum capacity is 60 diners. Pets are welcome at the venue.

Chophouse The Lookout has an average rating of 3.7/5 based on 16 customer reviews.",vegan;Italian;Mexican,Amsterdam,"12:30-16:30, 20:30-00:00",mid-range,3.7,16,smoking area;delivery,False,True,formal,60
11,Tavern The Lookout,"Right in Miami, Tavern The Lookout offers a menu inspired by American, steakhouse cuisine, designed for all kinds of diners.

Tavern The Lookout has an average rating of 3.3/5 based on 19 customer reviews.",American;steakhouse,Miami,"13:00-15:30, 20:00-00:00",budget,3.3,19,wifi;terrace;tasting menu;private events;smoking area;kids menu,True,False,casual,100
12,Seafood House The Hearth,"Right in Portland, Seafood House The Hearth offers a menu inspired by vegetarian, Chinese, Spanish cuisine, designed for all kinds of diners.

Its maximum capacity is 52 diners.

Seafood House The Hearth has an average rating of 3.4/5 based on 44 customer reviews.",vegetarian;Chinese;Spanish,Portland,13:30-00:00,mid-range,3.4,44,live music;private events;bar counter,False,False,casual,52
13,Grill The Mill,"Grill The Mill is a seafood, Mediterranean, American restaurant located in London, in the upscale price range.

Its maximum capacity is 41 diners.

The venue offers live music, terrace, private events, delivery and parking, and follows a formal dress code.

Grill The Mill has an average rating of 3.9/5 based on 2 customer reviews.",seafood;Mediterranean;American,London,"12:30-16:00, 19:30-23:30",upscale,3.9,2,live music;terrace;private events;delivery;parking,False,False,formal,41
