table_id,restaurant_id,table_number,capacity,location,accessible,status
1,1,1,2,indoor,False,available
2,1,2,4,bar,False,available
3,1,3,6,bar,True,available
4,2,1,2,indoor,False,reserved
5,2,2,8,indoor,True,available
6,2,3,4,private room,True,available
7,2,4,4,indoor,False,reserved
8,2,5,6,indoor,True,available
9,2,6,2,indoor,False,available
10,2,7,2,indoor,False,available
11,2,8,2,indoor,True,available
12,3,1,2,indoor,True,available
13,3,2,6,terrace,True,available
14,3,3,2,indoor,False,unavailable
15,3,4,2,indoor,False,occupied
16,3,5,2,private room,False,unavailable
17,3,6,4,terrace,False,available
18,3,7,2,terrace,False,available
19,3,8,8,indoor,True,available
20,3,9,4,indoor,False,available
21,3,10,4,private room,True,available
22,3,11,8,indoor,False,reserved
23,3,12,4,indoor,True,available
24,4,1,2,indoor,True,occupied
25,4,2,4,private room,False,available
26,4,3,2,terrace,False,available
27,4,4,10,terrace,True,available
28,4,5,6,indoor,True,available
29,4,6,8,terrace,True,available
30,5,1,6,terrace,True,available
31,5,2,4,indoor,False,available
32,5,3,2,terrace,True,available
33,5,4,2,terrace,False,occupied
34,5,5,2,indoor,False,available
35,5,6,6,indoor,True,available
36,5,7,2,indoor,False,available
37,5,8,6,indoor,False,available
38,5,9,2,indoor,False,reserved
39,5,10,6,bar,False,available
40,5,11,4,bar,False,occupied
41,5,12,4,indoor,False,available
42,5,13,4,indoor,True,available
43,5,14,2,indoor,True,available
44,5,15,2,indoor,False,reserved
45,5,16,4,private room,False,unavailable
46,5,17,4,indoor,False,available
47,6,1,4,indoor,False,available
48,6,2,4,indoor,True,available
49,6,3,8,terrace,False,available
50,6,4,4,terrace,False,occupied
51,6,5,6,indoor,True,reserved
52,6,6,4,terrace,False,available
53,6,7,2,indoor,False,available
54,6,8,4,private room,False,available
55,6,9,6,terrace,False,available
56,7,1,4,private room,False,available
57,7,2,4,bar,True,available
58,7,3,10,terrace,True,available
59,7,4,4,bar,False,available
60,7,5,4,terrace,True,available
61,7,6,6,private room,True,available
62,7,7,10,bar,True,available
63,7,8,4,indoor,False,reserved
64,7,9,2,indoor,False,available
65,7,10,2,private room,True,reserved
66,7,11,2,indoor,True,reserved
67,7,12,2,private room,True,available
68,7,13,4,bar,True,available
69,7,14,4,indoor,True,available
70,8,1,4,terrace,True,available
71,8,2,6,indoor,False,unavailable
72,8,3,2,indoor,True,available
73,8,4,10,terrace,False,available
74,8,5,2,indoor,True,occupied
75,8,6,10,bar,False,available
76,8,7,4,indoor,True,available
77,8,8,2,indoor,False,reserved
78,8,9,8,indoor,False,occupied
79,8,10,2,terrace,False,available
80,8,11,4,terrace,True,available
81,8,12,2,private room,False,reserved
82,8,13,2,indoor,True,reserved
83,8,14,2,indoor,False,available
84,8,15,4,indoor,True,occupied
85,8,16,8,private room,False,occupied
86,8,17,6,indoor,True,available
87,8,18,4,terrace,False,available
88,9,1,2,terrace,True,available
89,9,2,4,bar,True,available
90,9,3,2,terrace,True,available
91,9,4,6,terrace,True,available
92,9,5,6,indoor,False,occupied
93,9,6,6,indoor,True,available
94,9,7,8,indoor,True,available
95,9,8,6,indoor,False,occupied
96,9,9,8,terrace,False,available
97,9,10,4,terrace,False,available
98,9,11,4,terrace,False,reserved
99,9,12,2,indoor,True,available
100,9,13,6,private room,False,available
101,10,1,4,bar,False,available
102,10,2,2,indoor,False,reserved
103,10,3,10,indoor,True,available
104,10,4,6,indoor,False,available
105,10,5,4,indoor,True,available
106,10,6,8,bar,True,available
107,10,7,4,indoor,False,reserved
108,10,8,6,terrace,True,unavailable
109,10,9,2,private room,False,available
110,10,10,6,indoor,False,available
111,10,11,10,indoor,False,available
112,11,1,6,bar,False,available
113,11,2,8,indoor,True,available
114,11,3,10,terrace,False,unavailable
115,11,4,4,indoor,False,unavailable
116,11,5,6,indoor,False,available
117,11,6,4,indoor,False,available
118,11,7,2,terrace,False,reserved
119,11,8,6,terrace,True,available
120,11,9,2,terrace,True,available
121,11,10,2,terrace,False,available
122,11,11,6,terrace,False,unavailable
123,11,12,2,private room,True,reserved
124,11,13,8,indoor,False,available
125,11,14,2,private room,False,available
126,11,15,10,terrace,True,available
127,11,16,2,indoor,False,unavailable
128,11,17,4,indoor,False,reserved
129,11,18,4,terrace,False,available
130,11,19,2,terrace,True,available
131,11,20,2,indoor,False,available
132,11,21,2,terrace,False,available
133,11,22,6,terrace,True,available
134,12,1,4,indoor,False,available
135,12,2,2,private room,False,available
136,12,3,6,indoor,False,available
137,12,4,6,indoor,False,available
138,12,5,6,terrace,True,reserved
139,12,6,10,bar,True,available
140,12,7,2,terrace,False,available
141,12,8,2,indoor,True,available
142,12,9,8,indoor,False,available
143,12,10,4,indoor,True,occupied
144,12,11,2,indoor,False,available
145,13,1,6,terrace,True,available
146,13,2,4,indoor,False,available
147,13,3,4,indoor,True,reserved
148,13,4,2,indoor,True,reserved
149,13,5,10,terrace,True,available
150,13,6,2,terrace,True,available
151,13,7,4,private room,True,available
152,13,8,2,indoor,False,available
153,13,9,2,terrace,False,available
154,13,10,2,indoor,False,reserved
155,13,11,4,indoor,True,unavailable
156,14,1,4,indoor,False,available
157,14,2,2,indoor,False,available
158,14,3,4,indoor,True,available
159,14,4,8,indoor,True,available
160,14,5,10,indoor,True,occupied
161,14,6,2,terrace,True,reserved
162,14,7,4,indoor,False,occupied
163,14,8,4,terrace,False,available
164,14,9,8,indoor,True,reserved
165,14,10,10,indoor,False,reserved
166,15,1,4,indoor,True,available
167,15,2,2,indoor,True,reserved
168,15,3,2,terrace,False,reserved
169,15,4,2,terrace,False,available
170,15,5,10,terrace,False,available
171,15,6,4,private room,False,reserved
172,15,7,2,bar,False,available
173,15,8,2,indoor,True,reserved
174,15,9,8,indoor,True,reserved
175,15,10,4,indoor,False,unavailable
176,15,11,4,indoor,False,available
177,15,12,4,private room,False,available
