room_type_id,hotel_id,name,description,max_adults,max_children,bed_configuration,size_m2,bathroom_type,services,accessible,base_price_per_night,breakfast_included,cancellation_policy
1,1,family,"The family room at Grand Hotel Palm Grove has an area of approximately 41 m2 and is furnished with one double bed and a sofa bed, with room for up to 4 adults and 2 children. Amenities include jacuzzi, sea view, tv, safe and air conditioning. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",4,2,one double bed and a sofa bed,41,private,jacuzzi;sea view;tv;safe;air conditioning,False,148.14,False,flexible
2,1,double,"The double room at Grand Hotel Palm Grove has an area of approximately 29 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include safe, minibar, heating, jacuzzi, soundproofing, iron and coffee machine. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",2,1,one double bed,29,private,safe;minibar;heating;jacuzzi;soundproofing;iron;coffee machine,False,92.93,False,strict
3,1,twin,"The twin room at Grand Hotel Palm Grove has an area of approximately 31 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child.

Amenities include sea view, jacuzzi, heating and wifi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",2,1,two single beds,31,private,sea view;jacuzzi;heating;wifi,False,79.55,False,flexible
4,2,triple,"The triple room at Manor Silver Bay has an area of approximately 24 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child. Amenities include heating, sea view, soundproofing and coffee machine. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",3,1,one double bed and one single bed,24,private,heating;sea view;soundproofing;coffee machine,False,91.14,False,non-refundable
5,2,single,"The single room at Manor Silver Bay has an area of approximately 17 m2 and is furnished with one single bed, with room for up to 1 adults.

Amenities include terrace, desk and air conditioning. The rate includes breakfast. The cancellation policy for this room is non-refundable.",1,0,one single bed,17,private,terrace;desk;air conditioning,True,47.76,True,non-refundable
6,2,suite,"The suite room at Manor Silver Bay has an area of approximately 52 m2 and is furnished with one king-size bed and a sofa bed, with room for up to 3 adults and 2 children. Amenities include hairdryer, iron, minibar, desk and terrace. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",3,2,one king-size bed and a sofa bed,52,private,hairdryer;iron;minibar;desk;terrace,False,180.64,False,moderate
7,2,double,"The double room at Manor Silver Bay has an area of approximately 22 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child. Amenities include tv, wifi, safe, desk and jacuzzi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",2,1,one double bed,22,private,tv;wifi;safe;desk;jacuzzi,False,52.13,False,moderate
8,3,double,"The double room at Boutique Hotel Sunset has an area of approximately 24 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include hairdryer, coffee machine, terrace, safe, tv, balcony and sea view. The rate includes breakfast. The cancellation policy for this room is strict.",2,1,one double bed,24,private,hairdryer;coffee machine;terrace;safe;tv;balcony;sea view,False,291.52,True,strict
9,3,twin,"The twin room at Boutique Hotel Sunset has an area of approximately 27 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child. Amenities include soundproofing, iron, minibar, air conditioning, jacuzzi, terrace and hairdryer. The rate includes breakfast. The cancellation policy for this room is flexible.",2,1,two single beds,27,shared,soundproofing;iron;minibar;air conditioning;jacuzzi;terrace;hairdryer,True,344.11,True,flexible
10,3,suite,"The suite room at Boutique Hotel Sunset has an area of approximately 46 m2 and is furnished with one double bed and a separate lounge, with room for up to 3 adults and 2 children. Amenities include heating, city view, jacuzzi and coffee machine. The rate includes breakfast. The cancellation policy for this room is strict.",3,2,one double bed and a separate lounge,46,private,heating;city view;jacuzzi;coffee machine,False,709.26,True,strict
11,4,double,"The double room at Grand Hotel Golden Tower has an area of approximately 24 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child. Amenities include jacuzzi, iron, soundproofing, sea view, heating and wifi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",2,1,one double bed,24,private,jacuzzi;iron;soundproofing;sea view;heating;wifi,True,88.85,False,strict
12,4,family,"The family room at Grand Hotel Golden Tower has an area of approximately 33 m2 and is furnished with one double bed and a sofa bed, with room for up to 4 adults and 2 children.

Amenities include iron, minibar, sea view, heating, air conditioning, wifi and jacuzzi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",4,2,one double bed and a sofa bed,33,private,iron;minibar;sea view;heating;air conditioning;wifi;jacuzzi,True,127.53,False,flexible
13,5,suite,"The suite room at Resort Bayside has an area of approximately 52 m2 and is furnished with one double bed and a separate lounge, with room for up to 3 adults and 2 children. Amenities include safe, terrace, air conditioning, city view, coffee machine, heating, desk and iron. The rate includes breakfast. The cancellation policy for this room is moderate.",3,2,one double bed and a separate lounge,52,shared,safe;terrace;air conditioning;city view;coffee machine;heating;desk;iron,False,159.91,True,moderate
14,5,double,"The double room at Resort Bayside has an area of approximately 25 m2 and is furnished with one king-size bed, with room for up to 2 adults and 1 child. Amenities include terrace, jacuzzi, desk, air conditioning, iron, safe, balcony and heating. The rate includes breakfast. The cancellation policy for this room is flexible.",2,1,one king-size bed,25,private,terrace;jacuzzi;desk;air conditioning;iron;safe;balcony;heating,False,82.77,True,flexible
15,5,triple,"The triple room at Resort Bayside has an area of approximately 23 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include terrace, safe, tv, jacuzzi, heating, balcony and hairdryer. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",3,1,one double bed and one single bed,23,private,terrace;safe;tv;jacuzzi;heating;balcony;hairdryer,False,118.19,False,flexible
16,6,double,"The double room at Palace Central Park has an area of approximately 21 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include terrace, city view, balcony and soundproofing. The rate includes breakfast. The cancellation policy for this room is strict.",2,1,one double bed,21,private,terrace;city view;balcony;soundproofing,True,94.53,True,strict
17,6,single,"The single room at Palace Central Park has an area of approximately 14 m2 and is furnished with one single bed, with room for up to 1 adults. Amenities include air conditioning, hairdryer and coffee machine. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",1,0,one single bed,14,private,air conditioning;hairdryer;coffee machine,True,52.66,False,strict
18,7,triple,"The triple room at Aparthotel Lighthouse has an area of approximately 30 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include desk, terrace and soundproofing. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",3,1,one double bed and one single bed,30,private,desk;terrace;soundproofing,False,55.7,False,non-refundable
19,7,suite,"The suite room at Aparthotel Lighthouse has an area of approximately 65 m2 and is furnished with one double bed and a separate lounge, with room for up to 3 adults and 2 children.

Amenities include balcony, minibar, soundproofing, safe, wifi and sea view. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",3,2,one double bed and a separate lounge,65,private,balcony;minibar;soundproofing;safe;wifi;sea view,False,115.09,False,non-refundable
20,7,double,"The double room at Aparthotel Lighthouse has an area of approximately 16 m2 and is furnished with one king-size bed, with room for up to 2 adults and 1 child. Amenities include city view, safe, air conditioning and iron. The rate includes breakfast. The cancellation policy for this room is moderate.",2,1,one king-size bed,16,private,city view;safe;air conditioning;iron,True,52.49,True,moderate
21,7,twin,"The twin room at Aparthotel Lighthouse has an area of approximately 24 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child.

Amenities include coffee machine, jacuzzi, sea view and heating. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",2,1,two single beds,24,private,coffee machine;jacuzzi;sea view;heating,False,50.42,False,moderate
22,8,double,"The double room at Boutique Hotel Willow Grove has an area of approximately 24 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child. Amenities include terrace, coffee machine, safe, jacuzzi, soundproofing and iron. The rate includes breakfast. The cancellation policy for this room is strict.",2,1,one double bed,24,private,terrace;coffee machine;safe;jacuzzi;soundproofing;iron,False,161.2,True,strict
23,8,junior suite,"The junior suite room at Boutique Hotel Willow Grove has an area of approximately 37 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children.

Amenities include jacuzzi, soundproofing, tv, heating, safe, coffee machine, balcony and air conditioning. The rate includes breakfast. The cancellation policy for this room is flexible.",2,2,one double bed and a sitting area,37,private,jacuzzi;soundproofing;tv;heating;safe;coffee machine;balcony;air conditioning,True,295.61,True,flexible
24,8,triple,"The triple room at Boutique Hotel Willow Grove has an area of approximately 26 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include hairdryer, iron, air conditioning, heating, jacuzzi, tv, terrace and desk. The rate includes breakfast. The cancellation policy for this room is non-refundable.",3,1,one double bed and one single bed,26,private,hairdryer;iron;air conditioning;heating;jacuzzi;tv;terrace;desk,False,210.59,True,non-refundable
25,8,twin,"The twin room at Boutique Hotel Willow Grove has an area of approximately 19 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child.

Amenities include coffee machine, balcony, sea view and terrace. The rate includes breakfast. The cancellation policy for this room is strict.",2,1,two single beds,19,private,coffee machine;balcony;sea view;terrace,False,155.87,True,strict
26,9,double,"The double room at Hotel Central Park has an area of approximately 23 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child. Amenities include wifi, hairdryer, safe, balcony and soundproofing. The rate includes breakfast. The cancellation policy for this room is moderate.",2,1,one double bed,23,private,wifi;hairdryer;safe;balcony;soundproofing,True,151.62,True,moderate
27,9,family,"The family room at Hotel Central Park has an area of approximately 50 m2 and is furnished with one double bed and a sofa bed, with room for up to 4 adults and 2 children.

Amenities include tv, safe, hairdryer, minibar, iron and heating. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",4,2,one double bed and a sofa bed,50,shared,tv;safe;hairdryer;minibar;iron;heating,False,261.94,False,moderate
28,9,triple,"The triple room at Hotel Central Park has an area of approximately 33 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child. Amenities include safe, heating, sea view, coffee machine, tv, minibar and terrace. The rate includes breakfast. The cancellation policy for this room is non-refundable.",3,1,one double bed and one single bed,33,private,safe;heating;sea view;coffee machine;tv;minibar;terrace,True,191.05,True,non-refundable
29,10,family,"The family room at Hotel Marina has an area of approximately 37 m2 and is furnished with two double beds, with room for up to 4 adults and 2 children.

Amenities include tv, iron and heating. The rate includes breakfast. The cancellation policy for this room is non-refundable.",4,2,two double beds,37,private,tv;iron;heating,False,227.23,True,non-refundable
30,10,triple,"The triple room at Hotel Marina has an area of approximately 33 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include desk, soundproofing and wifi. The rate includes breakfast. The cancellation policy for this room is flexible.",3,1,one double bed and one single bed,33,private,desk;soundproofing;wifi,True,231.43,True,flexible
31,10,double,"The double room at Hotel Marina has an area of approximately 26 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include heating, jacuzzi, city view, iron, balcony, coffee machine and air conditioning. The rate includes breakfast. The cancellation policy for this room is strict.",2,1,one double bed,26,private,heating;jacuzzi;city view;iron;balcony;coffee machine;air conditioning,True,162.77,True,strict
32,10,junior suite,"The junior suite room at Hotel Marina has an area of approximately 42 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children. Amenities include sea view, terrace, desk and wifi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",2,2,one double bed and a sitting area,42,private,sea view;terrace;desk;wifi,False,263.68,False,strict
33,10,suite,"The suite room at Hotel Marina has an area of approximately 65 m2 and is furnished with one king-size bed and a sofa bed, with room for up to 3 adults and 2 children.

Amenities include balcony, air conditioning, sea view, city view, safe, minibar and desk. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",3,2,one king-size bed and a sofa bed,65,private,balcony;air conditioning;sea view;city view;safe;minibar;desk,False,302.74,False,non-refundable
34,11,double,"The double room at Manor St. Mark's has an area of approximately 25 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include tv, safe, hairdryer and heating. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",2,1,one double bed,25,private,tv;safe;hairdryer;heating,True,81.39,False,flexible
35,11,twin,"The twin room at Manor St. Mark's has an area of approximately 26 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child. Amenities include hairdryer, city view and air conditioning. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",2,1,two single beds,26,shared,hairdryer;city view;air conditioning,True,78.42,False,non-refundable
36,11,single,"The single room at Manor St. Mark's has an area of approximately 14 m2 and is furnished with one single bed, with room for up to 1 adults. Amenities include heating, iron, safe and hairdryer. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",1,0,one single bed,14,private,heating;iron;safe;hairdryer,False,45.7,False,flexible
37,11,triple,"The triple room at Manor St. Mark's has an area of approximately 28 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include heating, city view, air conditioning, coffee machine, iron and hairdryer. The rate includes breakfast. The cancellation policy for this room is strict.",3,1,one double bed and one single bed,28,shared,heating;city view;air conditioning;coffee machine;iron;hairdryer,False,114.86,True,strict
38,12,twin,"The twin room at Palace Harborview has an area of approximately 22 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child.

Amenities include terrace, iron, sea view, desk and soundproofing. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",2,1,two single beds,22,private,terrace;iron;sea view;desk;soundproofing,False,33.13,False,flexible
39,12,double,"The double room at Palace Harborview has an area of approximately 29 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include tv, sea view and city view. The rate includes breakfast. The cancellation policy for this room is flexible.",2,1,one double bed,29,private,tv;sea view;city view,False,40.11,True,flexible
40,12,suite,"The suite room at Palace Harborview has an area of approximately 41 m2 and is furnished with one double bed and a separate lounge, with room for up to 3 adults and 2 children. Amenities include hairdryer, terrace and desk. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",3,2,one double bed and a separate lounge,41,private,hairdryer;terrace;desk,False,96.34,False,strict
41,12,junior suite,"The junior suite room at Palace Harborview has an area of approximately 37 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children.

Amenities include terrace, balcony and safe. The rate includes breakfast. The cancellation policy for this room is strict.",2,2,one double bed and a sitting area,37,private,terrace;balcony;safe,False,87.77,True,strict
42,12,single,"The single room at Palace Harborview has an area of approximately 16 m2 and is furnished with one single bed, with room for up to 1 adults.

Amenities include soundproofing, safe, iron, hairdryer and tv. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",1,0,one single bed,16,private,soundproofing;safe;iron;hairdryer;tv,False,28.73,False,moderate
43,13,double,"The double room at Aparthotel Central Park has an area of approximately 21 m2 and is furnished with one king-size bed, with room for up to 2 adults and 1 child.

Amenities include coffee machine, tv, desk, hairdryer, heating, balcony, jacuzzi and city view. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",2,1,one king-size bed,21,private,coffee machine;tv;desk;hairdryer;heating;balcony;jacuzzi;city view,False,99.73,False,flexible
44,13,junior suite,"The junior suite room at Aparthotel Central Park has an area of approximately 53 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children.

Amenities include tv, minibar, sea view, coffee machine, wifi, air conditioning and jacuzzi. The rate includes breakfast. The cancellation policy for this room is strict.",2,2,one double bed and a sitting area,53,private,tv;minibar;sea view;coffee machine;wifi;air conditioning;jacuzzi,False,152.7,True,strict
